date,actual,predicted,residual,abs_error,squared_error,model_family,spec,dataset,vix_lag1,sentiment_extreme_lag1,vix_regime,sentiment_regime,rolling_mae_20,rolling_rmse_20,rolling_mean_residual_20
2024-06-18,0.0003069142465662,-0.012324388138949871,0.012631302385516071,0.012631302385516071,0.000159549799954344,xgboost,sentiment_mean_only,test,12.75,0.303030303030303,normal_vix,normal_extreme_sentiment,0.008492229024728359,0.009935599442566525,0.003342791231392789
2024-06-20,-0.0078948475690459,0.0044455439783632755,-0.012340391547409176,0.012340391547409176,0.00015228526354336784,xgboost,sentiment_mean_only,test,12.3,0.3505154639175257,normal_vix,normal_extreme_sentiment,0.008950296710561946,0.010287132029085348,0.002884723545559202
2024-06-21,-0.0026295327609525,0.00942683033645153,-0.01205636309740403,0.01205636309740403,0.0001453558911364457,xgboost,sentiment_mean_only,test,13.28,0.3157894736842105,normal_vix,normal_extreme_sentiment,0.009063096854565317,0.010406273440630812,0.001791887379822171
2024-06-24,-0.0115284118109211,0.00466966861858964,-0.01619808042951074,0.01619808042951074,0.00026237780960089885,xgboost,sentiment_mean_only,test,13.2,0.1940298507462686,normal_vix,normal_extreme_sentiment,0.009182501000788448,0.010577032468833182,0.00167248323359904
2024-06-25,0.0115640028822058,-0.002565380884334445,0.014129383766540245,0.014129383766540245,0.000199639485622171,xgboost,sentiment_mean_only,test,13.33,0.2888888888888888,normal_vix,normal_extreme_sentiment,0.009149879653469375,0.010532354614720659,0.001639861886279966
2024-06-26,0.0025306559201838,-0.0012702607782557607,0.0038009166984395606,0.0038009166984395606,1.444696774847669e-05,xgboost,sentiment_mean_only,test,12.84,0.2727272727272727,normal_vix,normal_extreme_sentiment,0.009253021492828488,0.010559441085055382,0.0019168117167648086
2024-06-27,0.0019210141825352,0.0055403695441782475,-0.0036193553616430474,0.0036193553616430474,1.3099733233854275e-05,xgboost,sentiment_mean_only,test,12.55,0.3166666666666666,normal_vix,normal_extreme_sentiment,0.009058538118552045,0.010456457884220678,0.0021112950910412527
2024-06-28,-0.0053790375645701,-0.0017259601736441255,-0.003653077390925974,0.003653077390925974,1.3344974424094522e-05,xgboost,sentiment_mean_only,test,12.24,0.2301587301587301,normal_vix,normal_extreme_sentiment,0.008718252319499584,0.010224257541054113,0.0024515808900937132
2024-07-01,0.0065502838712498,-0.0018417916726320982,0.008392075543881898,0.008392075543881898,7.042693193422066e-05,xgboost,sentiment_mean_only,test,12.44,0.1969696969696969,normal_vix,normal_extreme_sentiment,0.008958103188895426,0.010363906922839203,0.0030509375750860605
2024-07-02,0.0100276736053241,-0.006706118583679199,0.0167337921890033,0.0167337921890033,0.00028001980102474784,xgboost,sentiment_mean_only,test,12.22,0.2619047619047619,normal_vix,normal_extreme_sentiment,0.009793558959653482,0.01101868986356152,0.0038888610232283337
