date,actual,predicted,residual,abs_error,squared_error,model_family,spec,dataset,vix_lag1,sentiment_extreme_lag1,vix_regime,sentiment_regime
2024-05-31,-0.0001084153091274,9.135755490721409e-05,-0.0001997728640346141,0.0001997728640346141,3.990919720459241e-08,random_forest,sentiment_std_only,test,14.47,0.2568807339449541,normal_vix,normal_extreme_sentiment
2024-06-03,0.003463893212233,0.0006255908583207232,0.0028383023539122767,0.0028383023539122767,8.055960252223971e-06,random_forest,sentiment_std_only,test,12.92,0.3058823529411765,normal_vix,normal_extreme_sentiment
2024-06-04,0.002891853773988,-0.0038224637024475835,0.006714317476435584,0.006714317476435584,4.5082059174368306e-05,random_forest,sentiment_std_only,test,13.11,0.2441860465116279,normal_vix,normal_extreme_sentiment
2024-06-05,0.0201764361425001,-0.005231360809110542,0.02540779695161064,0.02540779695161064,0.000645556145934275,random_forest,sentiment_std_only,test,13.16,0.2577319587628865,normal_vix,normal_extreme_sentiment
2024-06-06,-0.0007284654843781,-0.0025169719084843687,0.0017885064241062688,0.0017885064241062688,3.1987552290693926e-06,random_forest,sentiment_std_only,test,12.63,0.2692307692307692,normal_vix,normal_extreme_sentiment
2024-06-07,-0.0010646553294391,0.0014231023757028422,-0.0024877577051419424,0.0024877577051419424,6.188938399493104e-06,random_forest,sentiment_std_only,test,12.58,0.2065217391304347,normal_vix,normal_extreme_sentiment
2024-06-10,0.0038723359939482,-0.00043390825946681245,0.004306244253415013,0.004306244253415013,1.854373957006982e-05,random_forest,sentiment_std_only,test,12.22,0.2808988764044944,normal_vix,normal_extreme_sentiment
2024-06-11,0.0070790577948143,-0.0038138930828315962,0.010892950877645895,0.010892950877645895,0.00011865637882280648,random_forest,sentiment_std_only,test,12.74,0.2117647058823529,normal_vix,normal_extreme_sentiment
2024-06-12,0.0131868817435445,0.0018738556729185388,0.01131302607062596,0.01131302607062596,0.00012798455887466265,random_forest,sentiment_std_only,test,12.85,0.3411764705882353,normal_vix,normal_extreme_sentiment
2024-06-13,0.0057241050350131,0.0009820175221808994,0.004742087512832201,0.004742087512832201,2.248739397935909e-05,random_forest,sentiment_std_only,test,12.04,0.2650602409638554,normal_vix,normal_extreme_sentiment
2024-06-14,0.0042246640983099,0.0017850556059541016,0.002439608492355798,0.002439608492355798,5.951689595974529e-06,random_forest,sentiment_std_only,test,11.94,0.3333333333333333,normal_vix,normal_extreme_sentiment
2024-06-17,0.0122819316719838,0.0013787367243488441,0.010903194947634955,0.010903194947634955,0.0001188796600661324,random_forest,sentiment_std_only,test,12.66,0.1714285714285714,normal_vix,normal_extreme_sentiment
2024-06-18,0.0003069142465662,0.0015212142408591288,-0.0012142999942929287,0.0012142999942929287,1.4745244761398065e-06,random_forest,sentiment_std_only,test,12.75,0.303030303030303,normal_vix,normal_extreme_sentiment
2024-06-20,-0.0078948475690459,0.002945214088498168,-0.01084006165754407,0.01084006165754407,0.00011750693673935707,random_forest,sentiment_std_only,test,12.3,0.3505154639175257,normal_vix,normal_extreme_sentiment
2024-06-21,-0.0026295327609525,0.0009544446304370833,-0.0035839773913895834,0.0035839773913895834,1.2844893941991684e-05,random_forest,sentiment_std_only,test,13.28,0.3157894736842105,normal_vix,normal_extreme_sentiment
2024-06-24,-0.0115284118109211,-0.0026140456645218912,-0.008914366146399209,0.008914366146399209,7.946592379206827e-05,random_forest,sentiment_std_only,test,13.2,0.1940298507462686,normal_vix,normal_extreme_sentiment
