model_family,spec,regime_type,regime_label,n_obs,mae,rmse,r2
random_forest,sentiment_extreme_only,sentiment_regime,high_extreme_sentiment,31,0.00877388128002323,0.010705853237364482,-0.4685465625574934
random_forest,sentiment_extreme_only,sentiment_regime,normal_extreme_sentiment,221,0.00913154122853034,0.012087551655700104,-0.052697218893884124
random_forest,sentiment_mean_only,sentiment_regime,high_extreme_sentiment,31,0.008060830501070267,0.010941564115195429,-0.5339244473569762
random_forest,sentiment_mean_only,sentiment_regime,normal_extreme_sentiment,221,0.009223711336818844,0.012409898412448911,-0.10959180935364521
random_forest,sentiment_std_only,sentiment_regime,high_extreme_sentiment,31,0.00975545926346432,0.012951969636595591,-1.1493977271678322
random_forest,sentiment_std_only,sentiment_regime,normal_extreme_sentiment,221,0.00906398652915643,0.011950786183520926,-0.02901034798192237
xgboost,macro_extreme,sentiment_regime,high_extreme_sentiment,31,0.008092059847400364,0.010606506783046843,-0.4414178573923375
xgboost,macro_extreme,sentiment_regime,normal_extreme_sentiment,221,0.009043958610603428,0.012131240636997517,-0.06032066247238288
xgboost,macro_mean,sentiment_regime,high_extreme_sentiment,31,0.007291097862433112,0.00994500657035987,-0.267229571382541
xgboost,macro_mean,sentiment_regime,normal_extreme_sentiment,221,0.009080958615451136,0.011956581513791559,-0.030008592058051287
xgboost,macro_mean_extreme,sentiment_regime,high_extreme_sentiment,31,0.008721598804463765,0.012022516982738794,-0.8519785338336765
xgboost,macro_mean_extreme,sentiment_regime,normal_extreme_sentiment,221,0.008908508941595446,0.01195271076785918,-0.029341803441817582
xgboost,macro_mean_std,sentiment_regime,high_extreme_sentiment,31,0.014129982791373072,0.01795175704985263,-3.1291349247634637
xgboost,macro_mean_std,sentiment_regime,normal_extreme_sentiment,221,0.00896039049623469,0.011822139612353287,-0.006975622732197984
xgboost,macro_only,sentiment_regime,high_extreme_sentiment,31,0.00695267893880351,0.009243085027064555,-0.09465948958404735
xgboost,macro_only,sentiment_regime,normal_extreme_sentiment,221,0.009318255816354204,0.01216180044087384,-0.0656694979123742
xgboost,macro_std,sentiment_regime,high_extreme_sentiment,31,0.014162517899617375,0.017994609178158313,-3.1488715339392197
xgboost,macro_std,sentiment_regime,normal_extreme_sentiment,221,0.009079701755974568,0.011983180838084672,-0.03459652676591651
xgboost,sentiment_extreme_only,sentiment_regime,high_extreme_sentiment,31,0.009468911741005647,0.01167429285606308,-0.7462495906128306
xgboost,sentiment_extreme_only,sentiment_regime,normal_extreme_sentiment,221,0.009659625420802126,0.012630579331869542,-0.14940566015720647
xgboost,sentiment_mean_only,sentiment_regime,high_extreme_sentiment,31,0.008634719198572201,0.012116939093273332,-0.881182802409697
xgboost,sentiment_mean_only,sentiment_regime,normal_extreme_sentiment,221,0.0103657729723895,0.013629778129665497,-0.3384568111681905
xgboost,sentiment_std_only,sentiment_regime,high_extreme_sentiment,31,0.009923220597234304,0.012958370335782721,-1.1515226623088015
xgboost,sentiment_std_only,sentiment_regime,normal_extreme_sentiment,221,0.00951100715542273,0.012336263093409183,-0.09646313713945798
