date,model_family,spec,feature_spec_role,feature,feature_value_scaled,shap_value,abs_shap_value,dataset,tuned,best_params_json
2024-01-05,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_std_lag1,0.24461817044569883,0.0004004884685855359,0.0004004884685855359,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-08,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,1.3398894025390304,-7.149940938688815e-05,7.149940938688815e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-08,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_lag1,-1.12364110656313,6.276903877733275e-05,6.276903877733275e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-08,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_mean_lag1,1.351416306812496,-0.00033681420609354973,0.00033681420609354973,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-08,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_std_lag1,-1.5904408585238095,0.00020089988538529724,0.00020089988538529724,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-09,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,1.3091281582459504,-0.00016798214346636087,0.00016798214346636087,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-09,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_lag1,-1.1554883083406722,-0.00039593043038621545,0.00039593043038621545,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-09,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_mean_lag1,-1.3780625449860076,0.0002518772380426526,0.0002518772380426526,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-09,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_std_lag1,2.136595604515748,-0.0037896421272307634,0.0037896421272307634,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-10,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,1.3168184693192202,-7.149940938688815e-05,7.149940938688815e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-10,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_lag1,-1.1932331400770186,6.276903877733275e-05,6.276903877733275e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-10,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_mean_lag1,2.521939127173145,-0.00025407137582078576,0.00025407137582078576,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
